ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,acire,andy,arti,azu,barrel,bebr,bitto,cako,chaeix,chaos,collen,dank,dans,dem,deo,dire,dis,dowolf,drj133,eggert,ema,fl81,gall,golden,haste,hb,hbj,horita,hotdog,hunt,isquen,janus,jona,jungle,kama,kcf,kecleon,lefty,lem,lies,mac,max,mega,mihark,mist,neko,nfun,orange,p0,para,place,plas,pony,prince,prod,prody,pyre,rev,rwlh,sceptile,sergio,shark,skull,sly,snake,sniff,taffer,tazzy,tgs,tked,tre,tunnel,turus,uf8,w1ndzs,wave,xx521,zel
50,Your Inception,INTERCEPTION - Town in Upheaval (Stage1),24,34,58,10,INTERCEPTION - Town in Upheaval (Stage1),,INTERCEPTION - Town in Upheaval (Stage1),Your Inception,Your Inception,Your Inception,,INTERCEPTION - Town in Upheaval (Stage1),,INTERCEPTION - Town in Upheaval (Stage1),,INTERCEPTION - Town in Upheaval (Stage1),Your Inception,INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),Your Inception,INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),Your Inception,,INTERCEPTION - Town in Upheaval (Stage1),Your Inception,INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),,INTERCEPTION - Town in Upheaval (Stage1),,INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),Your Inception,Your Inception,,INTERCEPTION - Town in Upheaval (Stage1),Your Inception,,Your Inception,Your Inception,INTERCEPTION - Town in Upheaval (Stage1),,,,INTERCEPTION - Town in Upheaval (Stage1),Your Inception,INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),,,INTERCEPTION - Town in Upheaval (Stage1),Your Inception,INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),Your Inception,,Your Inception,,INTERCEPTION - Town in Upheaval (Stage1),,Your Inception,Your Inception,,,Your Inception,,INTERCEPTION - Town in Upheaval (Stage1),INTERCEPTION - Town in Upheaval (Stage1),Your Inception,INTERCEPTION - Town in Upheaval (Stage1),Your Inception,INTERCEPTION - Town in Upheaval (Stage1),Your Inception,Your Inception,Your Inception,
51,Whisper of Relics,Prowler,22,35,57,13,Prowler,,Prowler,Whisper of Relics,Whisper of Relics,Prowler,,Prowler,,Prowler,,Prowler,Prowler,Whisper of Relics,Whisper of Relics,,Whisper of Relics,Prowler,Prowler,Prowler,Prowler,Prowler,Whisper of Relics,Prowler,Whisper of Relics,,Whisper of Relics,Prowler,Whisper of Relics,Prowler,,Prowler,,Prowler,Prowler,Whisper of Relics,Prowler,Prowler,,Whisper of Relics,Prowler,,Prowler,Prowler,Prowler,,,,Prowler,Whisper of Relics,Whisper of Relics,Whisper of Relics,,,Whisper of Relics,Whisper of Relics,Prowler,Prowler,Whisper of Relics,,Prowler,,Prowler,,Prowler,Prowler,,,Whisper of Relics,,Whisper of Relics,Whisper of Relics,Prowler,Whisper of Relics,Prowler,Prowler,Prowler,Prowler,Whisper of Relics,
52,Sewers,Sensei's Theme (CO Power),25,34,59,9,Sensei's Theme (CO Power),,,Sensei's Theme (CO Power),Sensei's Theme (CO Power),Sensei's Theme (CO Power),,Sewers,,Sewers,,Sensei's Theme (CO Power),Sensei's Theme (CO Power),Sensei's Theme (CO Power),Sewers,,Sewers,Sensei's Theme (CO Power),Sensei's Theme (CO Power),Sewers,Sensei's Theme (CO Power),Sensei's Theme (CO Power),Sewers,Sensei's Theme (CO Power),Sewers,,Sewers,Sensei's Theme (CO Power),Sewers,Sewers,Sewers,Sensei's Theme (CO Power),Sewers,Sensei's Theme (CO Power),Sensei's Theme (CO Power),,Sensei's Theme (CO Power),Sensei's Theme (CO Power),,Sensei's Theme (CO Power),Sensei's Theme (CO Power),,Sensei's Theme (CO Power),Sensei's Theme (CO Power),,,,,Sewers,Sensei's Theme (CO Power),Sensei's Theme (CO Power),Sensei's Theme (CO Power),Sewers,Sensei's Theme (CO Power),Sensei's Theme (CO Power),Sensei's Theme (CO Power),Sewers,Sensei's Theme (CO Power),Sewers,,Sewers,,Sewers,,Sensei's Theme (CO Power),Sensei's Theme (CO Power),,,Sewers,Sewers,Sensei's Theme (CO Power),Sewers,Sensei's Theme (CO Power),Sewers,Sewers,Sewers,Sensei's Theme (CO Power),Sensei's Theme (CO Power),Sewers,
53,The Magnificents,[ai],25,32,57,7,[ai],,,[ai],[ai],The Magnificents,,,,[ai],,The Magnificents,The Magnificents,[ai],[ai],,[ai],[ai],[ai],The Magnificents,[ai],[ai],[ai],The Magnificents,The Magnificents,,[ai],[ai],[ai],The Magnificents,[ai],[ai],[ai],[ai],The Magnificents,,[ai],The Magnificents,,The Magnificents,[ai],,[ai],The Magnificents,,,,,The Magnificents,[ai],The Magnificents,The Magnificents,The Magnificents,The Magnificents,[ai],The Magnificents,[ai],,[ai],,The Magnificents,,The Magnificents,,[ai],The Magnificents,,,The Magnificents,[ai],[ai],The Magnificents,[ai],The Magnificents,The Magnificents,[ai],The Magnificents,[ai],[ai],
54,Jungle Journey,I'm Your GPU,36,21,57,15,Jungle Journey,,,I'm Your GPU,I'm Your GPU,Jungle Journey,,Jungle Journey,,Jungle Journey,,I'm Your GPU,Jungle Journey,Jungle Journey,Jungle Journey,,Jungle Journey,Jungle Journey,Jungle Journey,I'm Your GPU,Jungle Journey,Jungle Journey,I'm Your GPU,I'm Your GPU,I'm Your GPU,,Jungle Journey,Jungle Journey,I'm Your GPU,Jungle Journey,Jungle Journey,I'm Your GPU,Jungle Journey,I'm Your GPU,Jungle Journey,,I'm Your GPU,Jungle Journey,,I'm Your GPU,Jungle Journey,,I'm Your GPU,Jungle Journey,,,,,Jungle Journey,I'm Your GPU,Jungle Journey,Jungle Journey,Jungle Journey,,Jungle Journey,Jungle Journey,Jungle Journey,Jungle Journey,I'm Your GPU,,,,Jungle Journey,,I'm Your GPU,I'm Your GPU,,,I'm Your GPU,I'm Your GPU,I'm Your GPU,Jungle Journey,Jungle Journey,Jungle Journey,Jungle Journey,Jungle Journey,I'm Your GPU,Jungle Journey,Jungle Journey,
55,Kind Lady (Funk Disco Extended Mix),Battle! (Deoxys),37,20,57,17,Kind Lady (Funk Disco Extended Mix),,Battle! (Deoxys),Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),,,,Battle! (Deoxys),,Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),Battle! (Deoxys),,,Battle! (Deoxys),Battle! (Deoxys),Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),,Kind Lady (Funk Disco Extended Mix),Battle! (Deoxys),Battle! (Deoxys),,Battle! (Deoxys),Battle! (Deoxys),Kind Lady (Funk Disco Extended Mix),Battle! (Deoxys),Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),Battle! (Deoxys),Kind Lady (Funk Disco Extended Mix),,Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),,Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),,Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),,,Battle! (Deoxys),Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),Battle! (Deoxys),,Kind Lady (Funk Disco Extended Mix),Battle! (Deoxys),Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),,Battle! (Deoxys),,Battle! (Deoxys),,Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),,,,,Battle! (Deoxys),Battle! (Deoxys),Kind Lady (Funk Disco Extended Mix),Battle! (Deoxys),Kind Lady (Funk Disco Extended Mix),Battle! (Deoxys),Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix),Kind Lady (Funk Disco Extended Mix)
56,Weight of the World/Nouveau-FR Version,Death by Glamour,27,30,57,3,Death by Glamour,,Death by Glamour,Weight of the World/Nouveau-FR Version,Weight of the World/Nouveau-FR Version,Death by Glamour,,Death by Glamour,,Weight of the World/Nouveau-FR Version,,Death by Glamour,Death by Glamour,Death by Glamour,,,Death by Glamour,Death by Glamour,Death by Glamour,Weight of the World/Nouveau-FR Version,Weight of the World/Nouveau-FR Version,,Death by Glamour,Weight of the World/Nouveau-FR Version,Death by Glamour,,Weight of the World/Nouveau-FR Version,Death by Glamour,Weight of the World/Nouveau-FR Version,Weight of the World/Nouveau-FR Version,Death by Glamour,Death by Glamour,Death by Glamour,Death by Glamour,Weight of the World/Nouveau-FR Version,,Weight of the World/Nouveau-FR Version,Death by Glamour,,Weight of the World/Nouveau-FR Version,Weight of the World/Nouveau-FR Version,,Death by Glamour,Death by Glamour,Weight of the World/Nouveau-FR Version,Death by Glamour,,,Death by Glamour,Weight of the World/Nouveau-FR Version,Weight of the World/Nouveau-FR Version,Death by Glamour,,Death by Glamour,Weight of the World/Nouveau-FR Version,Weight of the World/Nouveau-FR Version,Death by Glamour,,Weight of the World/Nouveau-FR Version,,Weight of the World/Nouveau-FR Version,,Death by Glamour,,Death by Glamour,Weight of the World/Nouveau-FR Version,,,,,Weight of the World/Nouveau-FR Version,Death by Glamour,Weight of the World/Nouveau-FR Version,Weight of the World/Nouveau-FR Version,Weight of the World/Nouveau-FR Version,Death by Glamour,Weight of the World/Nouveau-FR Version,Death by Glamour,Death by Glamour,Weight of the World/Nouveau-FR Version
57,Isolated Island Consigned to Oblivion,Battle: The Skyscraper,31,26,57,5,Isolated Island Consigned to Oblivion,,Battle: The Skyscraper,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,,,,Isolated Island Consigned to Oblivion,,Battle: The Skyscraper,Battle: The Skyscraper,Isolated Island Consigned to Oblivion,,,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,Battle: The Skyscraper,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,,Battle: The Skyscraper,Battle: The Skyscraper,Battle: The Skyscraper,,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,Battle: The Skyscraper,Battle: The Skyscraper,Battle: The Skyscraper,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,,Battle: The Skyscraper,Battle: The Skyscraper,,Isolated Island Consigned to Oblivion,Battle: The Skyscraper,,Battle: The Skyscraper,Isolated Island Consigned to Oblivion,Battle: The Skyscraper,Battle: The Skyscraper,,,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,Battle: The Skyscraper,Isolated Island Consigned to Oblivion,Battle: The Skyscraper,Battle: The Skyscraper,,Battle: The Skyscraper,,Isolated Island Consigned to Oblivion,,Battle: The Skyscraper,Battle: The Skyscraper,,,,,Battle: The Skyscraper,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,Battle: The Skyscraper,Battle: The Skyscraper,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,Battle: The Skyscraper,Isolated Island Consigned to Oblivion
58,Lost in the Abyss,Black tar,25,27,52,2,Black tar,,Black tar,Lost in the Abyss,Black tar,Lost in the Abyss,,Black tar,,,,Black tar,Black tar,Black tar,Black tar,,Lost in the Abyss,Black tar,Black tar,Lost in the Abyss,Black tar,Black tar,Black tar,Lost in the Abyss,Lost in the Abyss,,Black tar,Lost in the Abyss,Lost in the Abyss,Black tar,,Black tar,Black tar,Lost in the Abyss,Black tar,,Lost in the Abyss,Black tar,,Lost in the Abyss,Lost in the Abyss,,Lost in the Abyss,Black tar,,Lost in the Abyss,,,,,Lost in the Abyss,Black tar,,Lost in the Abyss,Lost in the Abyss,Black tar,Lost in the Abyss,Lost in the Abyss,Black tar,,,,Black tar,,Black tar,Lost in the Abyss,,,Black tar,,Lost in the Abyss,,Lost in the Abyss,Black tar,Black tar,Lost in the Abyss,Lost in the Abyss,,Lost in the Abyss,
59,Morning Dew,Morning Light Hymnus,21,30,51,9,Morning Light Hymnus,,Morning Light Hymnus,Morning Dew,Morning Light Hymnus,Morning Light Hymnus,,Morning Light Hymnus,,,,Morning Light Hymnus,Morning Dew,Morning Light Hymnus,Morning Dew,,Morning Light Hymnus,Morning Light Hymnus,Morning Dew,Morning Light Hymnus,Morning Dew,Morning Dew,Morning Light Hymnus,Morning Light Hymnus,Morning Light Hymnus,,Morning Light Hymnus,Morning Light Hymnus,Morning Light Hymnus,Morning Light Hymnus,,,Morning Dew,Morning Light Hymnus,Morning Dew,,Morning Light Hymnus,Morning Dew,,Morning Light Hymnus,Morning Dew,,Morning Light Hymnus,Morning Dew,,Morning Dew,,,,,Morning Dew,Morning Light Hymnus,,Morning Dew,Morning Dew,Morning Dew,Morning Light Hymnus,,Morning Dew,,Morning Dew,,Morning Light Hymnus,,Morning Dew,Morning Light Hymnus,,,,,Morning Light Hymnus,,Morning Dew,Morning Light Hymnus,Morning Light Hymnus,Morning Dew,Morning Light Hymnus,Morning Light Hymnus,Morning Light Hymnus,
60,Vector to the Heavens,Nuedori,18,33,51,15,Nuedori,,Vector to the Heavens,Vector to the Heavens,Nuedori,Vector to the Heavens,,Nuedori,,,,Vector to the Heavens,Nuedori,Vector to the Heavens,Nuedori,,Nuedori,Vector to the Heavens,Nuedori,Nuedori,Vector to the Heavens,Nuedori,Nuedori,Nuedori,Nuedori,,Nuedori,Vector to the Heavens,Vector to the Heavens,Nuedori,,,Vector to the Heavens,Nuedori,Nuedori,,Nuedori,Nuedori,,Nuedori,Nuedori,,Vector to the Heavens,Vector to the Heavens,,Nuedori,,,,,Vector to the Heavens,Nuedori,,Nuedori,Vector to the Heavens,Nuedori,Nuedori,,Nuedori,,,,Nuedori,,Nuedori,Vector to the Heavens,,,Vector to the Heavens,,Nuedori,,Nuedori,Nuedori,Vector to the Heavens,Nuedori,Nuedori,Vector to the Heavens,Nuedori,
61,Nazca no Oka,Same Old Story,36,18,54,18,Nazca no Oka,,Same Old Story,Nazca no Oka,Same Old Story,Same Old Story,Nazca no Oka,,,Nazca no Oka,,,Nazca no Oka,Nazca no Oka,Nazca no Oka,,Nazca no Oka,Same Old Story,Nazca no Oka,Nazca no Oka,Nazca no Oka,,Nazca no Oka,Nazca no Oka,Same Old Story,,Nazca no Oka,Same Old Story,Same Old Story,Nazca no Oka,Nazca no Oka,Same Old Story,Same Old Story,Nazca no Oka,Nazca no Oka,Nazca no Oka,Same Old Story,Nazca no Oka,,Nazca no Oka,Nazca no Oka,,Same Old Story,Nazca no Oka,,,,Nazca no Oka,Nazca no Oka,,Nazca no Oka,Same Old Story,Nazca no Oka,Same Old Story,Same Old Story,Nazca no Oka,Nazca no Oka,,Nazca no Oka,,Same Old Story,,Nazca no Oka,,Nazca no Oka,Same Old Story,,,,,Nazca no Oka,,Nazca no Oka,Nazca no Oka,Same Old Story,Nazca no Oka,Same Old Story,Nazca no Oka,Nazca no Oka,
62,Carrot Carrot,The Dreadful Fight,28,29,57,1,The Dreadful Fight,,The Dreadful Fight,The Dreadful Fight,The Dreadful Fight,Carrot Carrot,The Dreadful Fight,,,Carrot Carrot,,,Carrot Carrot,The Dreadful Fight,Carrot Carrot,The Dreadful Fight,Carrot Carrot,The Dreadful Fight,Carrot Carrot,The Dreadful Fight,The Dreadful Fight,,Carrot Carrot,The Dreadful Fight,Carrot Carrot,,The Dreadful Fight,The Dreadful Fight,The Dreadful Fight,Carrot Carrot,Carrot Carrot,The Dreadful Fight,The Dreadful Fight,The Dreadful Fight,Carrot Carrot,Carrot Carrot,Carrot Carrot,The Dreadful Fight,,Carrot Carrot,The Dreadful Fight,,The Dreadful Fight,Carrot Carrot,,,,Carrot Carrot,Carrot Carrot,,The Dreadful Fight,Carrot Carrot,Carrot Carrot,Carrot Carrot,Carrot Carrot,Carrot Carrot,Carrot Carrot,,The Dreadful Fight,,Carrot Carrot,,Carrot Carrot,,The Dreadful Fight,Carrot Carrot,,,The Dreadful Fight,,The Dreadful Fight,The Dreadful Fight,The Dreadful Fight,The Dreadful Fight,Carrot Carrot,Carrot Carrot,The Dreadful Fight,,The Dreadful Fight,
63,RGB,Queen in the Dark Night,24,33,57,9,Queen in the Dark Night,,Queen in the Dark Night,Queen in the Dark Night,Queen in the Dark Night,Queen in the Dark Night,Queen in the Dark Night,,,RGB,,,RGB,Queen in the Dark Night,RGB,Queen in the Dark Night,Queen in the Dark Night,Queen in the Dark Night,RGB,Queen in the Dark Night,RGB,,Queen in the Dark Night,Queen in the Dark Night,RGB,,RGB,Queen in the Dark Night,Queen in the Dark Night,RGB,Queen in the Dark Night,Queen in the Dark Night,Queen in the Dark Night,Queen in the Dark Night,RGB,RGB,Queen in the Dark Night,Queen in the Dark Night,,Queen in the Dark Night,Queen in the Dark Night,,Queen in the Dark Night,RGB,,,,Queen in the Dark Night,RGB,,Queen in the Dark Night,RGB,RGB,Queen in the Dark Night,RGB,RGB,RGB,,RGB,,Queen in the Dark Night,,RGB,,RGB,Queen in the Dark Night,,,Queen in the Dark Night,,Queen in the Dark Night,RGB,Queen in the Dark Night,RGB,Queen in the Dark Night,RGB,RGB,Queen in the Dark Night,Queen in the Dark Night,
64,Danger (ARM Version),The Best Is Yet To Come,29,23,52,6,Danger (ARM Version),,,Danger (ARM Version),The Best Is Yet To Come,The Best Is Yet To Come,,Danger (ARM Version),,,,The Best Is Yet To Come,Danger (ARM Version),,The Best Is Yet To Come,The Best Is Yet To Come,Danger (ARM Version),Danger (ARM Version),Danger (ARM Version),The Best Is Yet To Come,Danger (ARM Version),,Danger (ARM Version),Danger (ARM Version),Danger (ARM Version),,Danger (ARM Version),Danger (ARM Version),The Best Is Yet To Come,Danger (ARM Version),Danger (ARM Version),Danger (ARM Version),The Best Is Yet To Come,Danger (ARM Version),Danger (ARM Version),,,The Best Is Yet To Come,,The Best Is Yet To Come,Danger (ARM Version),,Danger (ARM Version),The Best Is Yet To Come,Danger (ARM Version),,The Best Is Yet To Come,,Danger (ARM Version),,The Best Is Yet To Come,Danger (ARM Version),,,The Best Is Yet To Come,The Best Is Yet To Come,Danger (ARM Version),,Danger (ARM Version),,The Best Is Yet To Come,,Danger (ARM Version),,The Best Is Yet To Come,The Best Is Yet To Come,,,The Best Is Yet To Come,,Danger (ARM Version),,Danger (ARM Version),Danger (ARM Version),Danger (ARM Version),The Best Is Yet To Come,The Best Is Yet To Come,The Best Is Yet To Come,The Best Is Yet To Come,
65,"Reach for the Moon, Immortal Smoke",Wildfire,28,24,52,4,"Reach for the Moon, Immortal Smoke",,,"Reach for the Moon, Immortal Smoke",Wildfire,Wildfire,,"Reach for the Moon, Immortal Smoke",,"Reach for the Moon, Immortal Smoke",,Wildfire,"Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke",,"Reach for the Moon, Immortal Smoke",Wildfire,Wildfire,Wildfire,Wildfire,,"Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke",,"Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke",Wildfire,Wildfire,"Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke",Wildfire,"Reach for the Moon, Immortal Smoke",Wildfire,,,Wildfire,,"Reach for the Moon, Immortal Smoke",Wildfire,,"Reach for the Moon, Immortal Smoke",Wildfire,"Reach for the Moon, Immortal Smoke",,Wildfire,,,,"Reach for the Moon, Immortal Smoke",Wildfire,,Wildfire,Wildfire,"Reach for the Moon, Immortal Smoke",Wildfire,,Wildfire,,Wildfire,,"Reach for the Moon, Immortal Smoke",,"Reach for the Moon, Immortal Smoke",Wildfire,,,Wildfire,,Wildfire,,"Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke","Reach for the Moon, Immortal Smoke",,"Reach for the Moon, Immortal Smoke",
66,Mortified by Faith,Evergreen,23,31,54,8,Evergreen,,,Mortified by Faith,Evergreen,Evergreen,,Mortified by Faith,,Mortified by Faith,,Mortified by Faith,Mortified by Faith,Evergreen,Evergreen,,Evergreen,Evergreen,Mortified by Faith,Evergreen,Mortified by Faith,,Mortified by Faith,Evergreen,Mortified by Faith,,Mortified by Faith,Evergreen,Evergreen,Mortified by Faith,Mortified by Faith,Evergreen,Mortified by Faith,Evergreen,Evergreen,,,Evergreen,,Evergreen,Evergreen,,Evergreen,Mortified by Faith,Evergreen,,Evergreen,,Mortified by Faith,,Mortified by Faith,Mortified by Faith,,Evergreen,Evergreen,Evergreen,Evergreen,,Evergreen,,Mortified by Faith,,Mortified by Faith,,Mortified by Faith,Evergreen,,,Mortified by Faith,,Evergreen,Mortified by Faith,Evergreen,Mortified by Faith,Evergreen,Evergreen,Evergreen,,Evergreen,
67,Dance of Wind,Chromesthesia,23,35,58,12,Chromesthesia,,Dance of Wind,Dance of Wind,Dance of Wind,Dance of Wind,,Chromesthesia,,,,Dance of Wind,Chromesthesia,Chromesthesia,Chromesthesia,,Chromesthesia,Chromesthesia,Dance of Wind,Dance of Wind,Chromesthesia,Chromesthesia,Dance of Wind,Dance of Wind,Dance of Wind,,Chromesthesia,Dance of Wind,Chromesthesia,Chromesthesia,Chromesthesia,Chromesthesia,Dance of Wind,Chromesthesia,Chromesthesia,,Chromesthesia,Chromesthesia,,Chromesthesia,Dance of Wind,,Chromesthesia,Chromesthesia,Chromesthesia,,,Dance of Wind,Chromesthesia,Dance of Wind,Chromesthesia,Chromesthesia,Chromesthesia,Dance of Wind,Chromesthesia,Dance of Wind,Chromesthesia,,Dance of Wind,,Dance of Wind,,Chromesthesia,,Chromesthesia,Dance of Wind,,,,,Dance of Wind,Chromesthesia,Dance of Wind,Chromesthesia,Chromesthesia,Chromesthesia,Chromesthesia,Chromesthesia,Dance of Wind,
68,Stilt Village,Fire Island Volcano,22,38,60,16,Fire Island Volcano,,Fire Island Volcano,Stilt Village,Fire Island Volcano,Fire Island Volcano,,Stilt Village,,,,Fire Island Volcano,Fire Island Volcano,Stilt Village,Stilt Village,,Fire Island Volcano,Fire Island Volcano,Stilt Village,Fire Island Volcano,Fire Island Volcano,Fire Island Volcano,Fire Island Volcano,Stilt Village,Stilt Village,,Fire Island Volcano,Fire Island Volcano,Fire Island Volcano,Fire Island Volcano,Stilt Village,Fire Island Volcano,Stilt Village,Fire Island Volcano,Fire Island Volcano,,Stilt Village,Stilt Village,,Fire Island Volcano,Fire Island Volcano,,Stilt Village,Fire Island Volcano,Fire Island Volcano,,,Fire Island Volcano,Fire Island Volcano,Fire Island Volcano,Fire Island Volcano,Fire Island Volcano,Stilt Village,Stilt Village,Stilt Village,Stilt Village,Fire Island Volcano,Fire Island Volcano,Fire Island Volcano,,Stilt Village,,Fire Island Volcano,,Fire Island Volcano,Fire Island Volcano,,,Stilt Village,,Stilt Village,Stilt Village,Fire Island Volcano,Stilt Village,Stilt Village,Fire Island Volcano,Fire Island Volcano,Fire Island Volcano,Fire Island Volcano,
69,Specimen of Life (Long Version),VEX DAY TRANSFUSE.EXE,33,27,60,6,Specimen of Life (Long Version),,Specimen of Life (Long Version),VEX DAY TRANSFUSE.EXE,Specimen of Life (Long Version),Specimen of Life (Long Version),,VEX DAY TRANSFUSE.EXE,,,,Specimen of Life (Long Version),VEX DAY TRANSFUSE.EXE,Specimen of Life (Long Version),VEX DAY TRANSFUSE.EXE,,Specimen of Life (Long Version),VEX DAY TRANSFUSE.EXE,VEX DAY TRANSFUSE.EXE,Specimen of Life (Long Version),Specimen of Life (Long Version),Specimen of Life (Long Version),VEX DAY TRANSFUSE.EXE,Specimen of Life (Long Version),Specimen of Life (Long Version),,Specimen of Life (Long Version),VEX DAY TRANSFUSE.EXE,VEX DAY TRANSFUSE.EXE,VEX DAY TRANSFUSE.EXE,VEX DAY TRANSFUSE.EXE,VEX DAY TRANSFUSE.EXE,Specimen of Life (Long Version),Specimen of Life (Long Version),VEX DAY TRANSFUSE.EXE,,Specimen of Life (Long Version),Specimen of Life (Long Version),,Specimen of Life (Long Version),Specimen of Life (Long Version),,Specimen of Life (Long Version),VEX DAY TRANSFUSE.EXE,Specimen of Life (Long Version),,,Specimen of Life (Long Version),VEX DAY TRANSFUSE.EXE,Specimen of Life (Long Version),VEX DAY TRANSFUSE.EXE,VEX DAY TRANSFUSE.EXE,VEX DAY TRANSFUSE.EXE,Specimen of Life (Long Version),VEX DAY TRANSFUSE.EXE,Specimen of Life (Long Version),Specimen of Life (Long Version),Specimen of Life (Long Version),Specimen of Life (Long Version),,VEX DAY TRANSFUSE.EXE,,VEX DAY TRANSFUSE.EXE,,VEX DAY TRANSFUSE.EXE,Specimen of Life (Long Version),,,VEX DAY TRANSFUSE.EXE,,VEX DAY TRANSFUSE.EXE,VEX DAY TRANSFUSE.EXE,Specimen of Life (Long Version),VEX DAY TRANSFUSE.EXE,Specimen of Life (Long Version),Specimen of Life (Long Version),Specimen of Life (Long Version),VEX DAY TRANSFUSE.EXE,Specimen of Life (Long Version),
